month;value
01.2014;0,07
02.2014;0,07
03.2014;0,08
04.2014;0,09
05.2014;0,09
06.2014;0,1
07.2014;0,09
08.2014;0,09
09.2014;0,09
10.2014;0,09
11.2014;0,09
12.2014;0,12
01.2015;0,11
02.2015;0,11
03.2015;0,11
04.2015;0,12
05.2015;0,12
06.2015;0,13
07.2015;0,13
08.2015;0,14
09.2015;0,14
10.2015;0,12
11.2015;0,12
12.2015;0,24
01.2016;0,34
02.2016;0,38
03.2016;0,36
04.2016;0,37
05.2016;0,37
06.2016;0,38
07.2016;0,39
08.2016;0,4
09.2016;0,4
10.2016;0,4
11.2016;0,41
12.2016;0,54
01.2017;0,65
02.2017;0,66
03.2017;0,79
04.2017;0,9
05.2017;0,91
06.2017;1,04
07.2017;1,15
08.2017;1,16
09.2017;1,15
10.2017;1,15
11.2017;1,16
12.2017;1,3
01.2018;1,41
02.2018;1,42
03.2018;1,51
04.2018;1,69
05.2018;1,7
06.2018;1,82
07.2018;1,91
08.2018;1,91
09.2018;1,95
10.2018;2,19
11.2018;2,2
12.2018;2,27
01.2019;2,4
02.2019;2,4
03.2019;2,41
04.2019;2,42
05.2019;2,39
06.2019;2,38
07.2019;2,4
08.2019;2,13
09.2019;2,04
10.2019;1,83
11.2019;1,55
12.2019;1,55
01.2020;1,55
02.2020;1,58
03.2020;0,65
04.2020;0,05
05.2020;0,05
06.2020;0,08
07.2020;0,09
08.2020;0,1
09.2020;0,09
10.2020;0,09
11.2020;0,09
12.2020;0,09
01.2021;0,09
02.2021;0,08
03.2021;0,07
04.2021;0,07
05.2021;0,06
06.2021;0,08
07.2021;0,1
08.2021;0,09
09.2021;0,08
10.2021;0,08
11.2021;0,08
12.2021;0,08
01.2022;0,08
02.2022;0,08
03.2022;0,2
04.2022;0,33
05.2022;0,77
06.2022;1,21
07.2022;1,68
08.2022;2,33
09.2022;2,56
10.2022;3,08
11.2022;3,78
12.2022;4,1
01.2023;4,33
02.2023;4,57
03.2023;4,65
04.2023;4,83
05.2023;5,06
06.2023;5,08
07.2023;5,12
08.2023;5,33
09.2023;5,33
10.2023;5,33
11.2023;5,33
12.2023;5,33
01.2024;5,33
02.2024;5,33
03.2024;5,33
04.2024;5,33
05.2024;5,33
06.2024;5,33
07.2024;5,33
08.2024;5,33
09.2024;5,13
10.2024;4,83
11.2024;4,64
12.2024;4,48
01.2025;4,33
02.2025;4,33
03.2025;4,33
04.2025;4,33
05.2025;4,33
06.2025;4,33
07.2025;4,33
08.2025;4,33
09.2025;4,22
10.2025;4,09
11.2025;3,88
